1,"April 30, 1789","March 4, 1797",George Washington,Unaffiliated,John Adams
2,"March 4, 1797","March 4, 1801",John Adams,Federalist,Thomas Jefferson
3,"March 4, 1801","March 4, 1809",Thomas Jefferson,Democratic-Republican,Aaron Burr
4,"March 4, 1809","March 4, 1817",James Madison,Democratic-Republican,George Clinton
5,"March 4, 1817","March 4, 1825",James Monroe,Democratic-Republican,Daniel D. Tompkins
6,"March 4, 1825","March 4, 1829",John Quincy Adams,Democratic-Republican,John C. Calhoun
7,"March 4, 1829","March 4, 1837",Andrew Jackson,Democratic,John C. Calhoun
8,"March 4, 1837","March 4, 1841",Martin Van Buren,Democratic,Richard Mentor Johnson
9,"March 4, 1841","April 4, 1841",William Henry Harrison,Whig,John Tyler
10,"April 4, 1841","March 4, 1845",John Tyler,Whig,Vacant
11,"March 4, 1845","March 4, 1849",James K. Polk,Democratic,George M. Dallas
12,"March 4, 1849","July 9, 1850",Zachary Taylor,Whig,Millard Fillmore
13,"July 9, 1850","March 4, 1853",Millard Fillmore,Whig,Vacant
14,"March 4, 1853","March 4, 1857",Franklin Pierce,Democratic,William R. King
15,"March 4, 1857","March 4, 1861",James Buchanan,Democratic,John C. Breckinridge
16,"March 4, 1861","April 15, 1865",Abraham Lincoln,Republican,Hannibal Hamlin
17,"April 15, 1865","March 4, 1869",Andrew Johnson,National Union,Vacant
18,"March 4, 1869","March 4, 1877",Ulysses S. Grant,Republican,Schuyler Colfax
19,"March 4, 1877","March 4, 1881",Rutherford B. Hayes,Republican,William A. Wheeler
20,"March 4, 1881","September 19, 1881",James A. Garfield,Republican,Chester A. Arthur
21,"September 19, 1881","March 4, 1885",Chester A. Arthur,Republican,Vacant
22,"March 4, 1885","March 4, 1889",Grover Cleveland,Democratic,Thomas A. Hendricks
23,"March 4, 1889","March 4, 1893",Benjamin Harrison,Republican,Levi P. Morton
24,"March 4, 1893","March 4, 1897",Grover Cleveland,Democratic,Adlai Stevenson I
25,"March 4, 1897","September 14, 1901",William McKinley,Republican,Garret Hobart
26,"September 14, 1901","March 4, 1909",Theodore Roosevelt,Republican,Charles W. Fairbanks
27,"March 4, 1909","March 4, 1913",William Howard Taft,Republican,James S. Sherman
28,"March 4, 1913","March 4, 1921",Woodrow Wilson,Democratic,Thomas R. Marshall
29,"March 4, 1921","August 2, 1923",Warren G. Harding,Republican,Calvin Coolidge
30,"August 2, 1923","March 4, 1929",Calvin Coolidge,Republican,Charles G. Dawes
31,"March 4, 1929","March 4, 1933",Herbert Hoover,Republican,Charles Curtis
32,"March 4, 1933","April 12, 1945",Franklin D. Roosevelt,Democratic,John Nance Garner
33,"April 12, 1945","January 20, 1953",Harry S. Truman,Democratic,Alben W. Barkley
34,"January 20, 1953","January 20, 1961",Dwight D. Eisenhower,Republican,Richard Nixon
35,"January 20, 1961","November 22, 1963",John F. Kennedy,Democratic,Lyndon B. Johnson
36,"November 22, 1963","January 20, 1969",Lyndon B. Johnson,Democratic,Hubert Humphrey
37,"January 20, 1969","August 9, 1974",Richard Nixon,Republican,Spiro Agnew
38,"August 9, 1974","January 20, 1977",Gerald Ford,Republican,Nelson Rockefeller
39,"January 20, 1977","January 20, 1981",Jimmy Carter,Democratic,Walter Mondale
40,"January 20, 1981","January 20, 1989",Ronald Reagan,Republican,George H. W. Bush
41,"January 20, 1989","January 20, 1993",George H. W. Bush,Republican,Dan Quayle
42,"January 20, 1993","January 20, 2001",Bill Clinton,Democratic,Al Gore
43,"January 20, 2001","January 20, 2009",George W. Bush,Republican,Dick Cheney
44,"January 20, 2009","January 20, 2017",Barack Obama,Democratic,Joe Biden
45,"January 20, 2017",Incumbent,Donald Trump,Republican,Mike Pence
